uid,concept_id,response
lucky_0,1,1
lucky_0,1,1
lucky_0,1,1
lucky_0,1,1
lucky_0,1,0
lucky_0,1,0
lucky_0,1,1
lucky_0,1,0
lucky_0,1,0
lucky_0,2,1
lucky_0,2,0
lucky_0,2,0
lucky_0,3,0
lucky_0,3,0
lucky_0,3,1
lucky_1,1,1
lucky_1,1,1
lucky_1,1,1
lucky_1,1,1
lucky_1,1,0
lucky_1,1,1
lucky_1,1,0
lucky_1,1,1
lucky_1,2,0
lucky_1,2,1
lucky_1,3,0
lucky_1,3,0
lucky_1,3,1
lucky_2,1,1
lucky_2,1,1
lucky_2,1,1
lucky_2,1,1
lucky_2,1,1
lucky_2,1,1
lucky_2,1,1
lucky_2,1,0
lucky_2,2,1
lucky_2,2,0
lucky_2,2,0
lucky_2,3,0
lucky_3,1,1
lucky_3,1,1
lucky_3,1,1
lucky_3,1,1
lucky_3,1,1
lucky_3,1,0
lucky_3,1,0
lucky_3,1,1
lucky_3,1,0
lucky_3,2,1
lucky_3,3,1
lucky_3,3,0
lucky_3,3,0
lucky_4,1,1
lucky_4,1,1
lucky_4,1,1
lucky_4,1,0
lucky_4,2,0
lucky_4,2,1
lucky_4,3,0
lucky_4,3,1
lucky_4,3,0
lucky_4,3,0
lucky_5,1,1
lucky_5,1,1
lucky_5,1,1
lucky_5,1,0
lucky_5,2,0
lucky_5,2,0
lucky_5,3,0
lucky_5,3,0
lucky_6,1,1
lucky_6,1,1
lucky_6,1,1
lucky_6,1,0
lucky_6,1,1
lucky_6,1,1
lucky_6,2,0
lucky_6,3,1
lucky_6,3,0
lucky_6,3,1
lucky_6,3,0
lucky_7,1,1
lucky_7,1,1
lucky_7,1,1
lucky_7,1,1
lucky_7,1,1
lucky_7,1,1
lucky_7,1,1
lucky_7,1,1
lucky_7,2,0
lucky_7,2,0
lucky_7,3,0
lucky_7,3,1
lucky_8,1,1
lucky_8,1,1
lucky_8,1,1
lucky_8,1,1
lucky_8,1,0
lucky_8,2,0
lucky_8,2,0
lucky_8,2,0
lucky_8,3,0
lucky_8,3,0
lucky_8,3,0
lucky_9,1,1
lucky_9,1,1
lucky_9,1,1
lucky_9,1,1
lucky_9,1,1
lucky_9,1,1
lucky_9,1,1
lucky_9,1,1
lucky_9,2,0
lucky_9,2,0
lucky_9,2,0
lucky_9,3,0
lucky_9,3,0
lucky_9,3,1
lucky_9,3,1
lucky_9,3,0
lucky_10,1,1
lucky_10,1,1
lucky_10,1,1
lucky_10,1,1
lucky_10,1,0
lucky_10,1,1
lucky_10,2,0
lucky_10,3,0
lucky_10,3,0
lucky_10,3,0
lucky_11,1,1
lucky_11,1,1
lucky_11,1,1
lucky_11,1,1
lucky_11,1,1
lucky_11,1,1
lucky_11,2,0
lucky_11,3,1
lucky_11,3,0
lucky_11,3,0
lucky_12,1,1
lucky_12,1,1
lucky_12,1,1
lucky_12,1,1
lucky_12,2,0
lucky_12,2,0
lucky_12,3,0
lucky_12,3,0
lucky_12,3,1
lucky_12,3,0
lucky_12,3,0
lucky_13,1,1
lucky_13,1,1
lucky_13,1,1
lucky_13,1,1
lucky_13,1,1
lucky_13,1,0
lucky_13,2,0
lucky_13,2,0
lucky_13,2,0
lucky_13,3,0
lucky_14,1,1
lucky_14,1,1
lucky_14,1,1
lucky_14,1,1
lucky_14,1,1
lucky_14,1,1
lucky_14,1,1
lucky_14,2,0
lucky_14,2,0
lucky_14,3,0
lucky_14,3,0
lucky_15,1,1
lucky_15,1,1
lucky_15,1,1
lucky_15,1,1
lucky_15,1,1
lucky_15,1,0
lucky_15,1,0
lucky_15,2,0
lucky_15,3,0
lucky_15,3,0
lucky_16,1,1
lucky_16,1,1
lucky_16,1,1
lucky_16,1,1
lucky_16,1,1
lucky_16,1,1
lucky_16,1,1
lucky_16,1,1
lucky_16,2,0
lucky_16,2,0
lucky_16,3,0
lucky_17,1,1
lucky_17,1,1
lucky_17,1,1
lucky_17,1,1
lucky_17,1,1
lucky_17,1,1
lucky_17,2,0
lucky_17,2,0
lucky_17,3,1
lucky_17,3,1
lucky_18,1,1
lucky_18,1,1
lucky_18,1,1
lucky_18,1,1
lucky_18,1,0
lucky_18,1,1
lucky_18,1,1
lucky_18,1,1
lucky_18,1,0
lucky_18,2,0
lucky_18,3,0
lucky_18,3,1
lucky_18,3,0
lucky_19,1,1
lucky_19,1,1
lucky_19,1,1
lucky_19,1,1
lucky_19,1,1
lucky_19,1,0
lucky_19,1,1
lucky_19,2,0
lucky_19,2,0
lucky_19,2,0
lucky_19,3,0
lucky_19,3,1
lucky_19,3,1
expert_0,1,1
expert_0,2,1
expert_0,2,1
expert_0,2,1
expert_0,3,1
expert_0,3,1
expert_0,3,1
expert_1,1,1
expert_1,1,1
expert_1,2,1
expert_1,2,1
expert_1,2,1
expert_1,3,1
expert_1,3,1
expert_1,3,1
expert_1,3,1
expert_2,1,1
expert_2,2,1
expert_2,2,1
expert_2,2,1
expert_2,3,1
expert_2,3,1
expert_2,3,1
expert_3,1,1
expert_3,1,1
expert_3,1,1
expert_3,1,1
expert_3,2,1
expert_3,2,1
expert_3,2,1
expert_3,3,1
expert_3,3,1
expert_3,3,1
expert_3,3,1
expert_3,3,1
expert_4,1,1
expert_4,1,1
expert_4,2,1
expert_4,2,1
expert_4,3,1
expert_4,3,1
expert_5,1,1
expert_5,2,1
expert_5,2,1
expert_5,3,1
expert_5,3,1
expert_5,3,1
expert_5,3,1
expert_5,3,1
expert_6,1,1
expert_6,1,1
expert_6,1,1
expert_6,1,1
expert_6,2,1
expert_6,2,1
expert_6,2,1
expert_6,3,1
expert_6,3,1
expert_6,3,1
expert_6,3,1
expert_6,3,1
expert_7,1,1
expert_7,1,1
expert_7,1,1
expert_7,1,1
expert_7,1,1
expert_7,2,1
expert_7,2,1
expert_7,2,1
